TV,Radio,Newspaper
280.7,13.9,37
121,8.4,48.7
197.6,23.3,14.2
171.3,39.7,37.7
187.8,21.1,9.5
4.1,11.6,5.7
93.9,43.5,50.5
149.8,1.3,24.3
11.7,36.9,45.2
131.7,18.4,34.6
172.5,18.1,30.7
85.7,35.8,49.3
188.4,18.1,25.6
163.5,36.8,7.4
117.2,14.7,5.4
234.5,3.4,84.8
17.9,37.6,21.6
206.8,5.2,19.4
215.4,23.6,57.6
284.3,10.6,6.4
50,11.6,18.4
164.5,20.9,47.4
19.6,20.1,17
168.4,7.1,12.8
222.4,3.4,13.1
276.9,48.9,41.8
248.4,30.2,20.3
170.2,7.8,35.2
276.7,2.3,23.7
165.6,10,17.6
156.6,2.6,8.3
218.5,5.4,27.4
56.2,5.7,29.7
287.6,43,71.8
253.8,21.3,30
205,45.1,19.6
139.5,2.1,26.6
191.1,28.7,18.2
286,13.9,3.7
18.7,12.1,23.4
39.5,41.1,5.8
75.5,10.8,6
17.2,4.1,31.6
166.8,42,3.6
149.7,35.6,6
38.2,3.7,13.8
94.2,4.9,8.1
177,9.3,6.4
283.6,42,66.2
232.1,8.6,8.7
